2026-04-28 13:50:50,Verander me in een serverkast.,server_001,95,0
2026-04-28 13:50:54,Ik wil een bureaustoel zijn.,office_chair_001,100,0
2026-04-28 13:53:05,Maak van mij een archiefkast.,box_001,100,0
2026-04-28 13:53:18,Verander me in een serverkast.,server_001,98,0
2026-04-28 13:53:22,Ik wil een bureaustoel zijn.,office_chair_001,100,0
2026-04-28 13:53:26,Maak van mij een archiefkast.,none,0,0
2026-04-28 13:53:30,Verander me in een grote brandblusser.,none,0,0
2026-04-28 13:53:34,Ik ben een patchkast.,closet_001,92,0
2026-04-28 13:53:39,Maak me een koffiemachine.,coffee_machine_001,95,0
2026-04-28 13:53:43,Verander me in een metalen prullenbak.,none,20,0
2026-04-28 13:53:52,Ik wil een verrijdbaar whiteboard zijn.,none,0,0
2026-04-28 13:54:49,Maak me een stapel serverblades.,box_001,92,0
2026-04-28 13:54:54,Verander me in een zware UPS batterij.,server_001,85,0
2026-04-28 13:55:54,Ik ben een waterkoeler.,server_001,98,0
2026-04-28 13:55:58,Maak van mij een gereedschapskist.,none,0,0
2026-04-28 13:56:03,Ik wil een dikke rol netwerkkabels zijn.,air_hockey_001,95,0
2026-04-28 13:56:07,Verander me in een beveiligingscamera.,camera_001,80,0
2026-04-28 13:56:11,Maak me een bureau met een monitor erop.,office_table_001,60,0
2026-04-28 13:56:15,Ik wil een grote industriële ventilator zijn.,none,10,0
2026-04-28 13:56:19,Verander me in een stapel kartonnen dozen.,box_001,8,0
2026-04-28 13:56:24,Ik ben een netwerkrouter.,server_001,80,0
2026-04-28 13:56:28,Verander me in een laptop op een karretje.,server_001,80,0
2026-04-28 13:56:32,Maak van mij een metalen stellingkast.,server_001,85,0
2026-04-28 13:56:36,Ik ben een roze eenhoorn.,none,0,0
2026-04-28 13:56:40,Verander me in een baksteen.,box_001,100,0
2026-04-28 13:56:45,Maak me een middeleeuws zwaard.,none,0,0
2026-04-28 13:56:49,Ik wil een palmboom zijn.,none,0,0
2026-04-28 13:56:53,Verander me in een opblaasbare krokodil.,none,0,0
2026-04-28 13:56:57,Maak van mij een zandkasteel.,none,0,0
2026-04-28 13:57:02,Ik ben een groot piratenschip.,none,0,0
2026-04-28 13:57:06,Verander me in een kampvuur.,none,0,0
2026-04-28 13:57:10,Maak me een stoomtrein.,none,0,0
2026-04-28 13:57:14,Ik wil een voetbal zijn.,none,0,0
2026-04-28 13:57:18,Verander me in een boze grizzlybeer.,none,0,0
2026-04-28 13:57:23,Maak van mij een hete luchtballon.,none,0,0
2026-04-28 13:57:27,Ik ben een draaiende wasmachine.,none,0,0
2026-04-28 13:57:31,Verander me in een straatlantaarn.,none,0,0
2026-04-28 13:57:35,Maak me een akoestische gitaar.,none,0,0
2026-04-28 13:57:39,Ik wil een achtbaan zijn.,none,0,0
2026-04-28 13:57:43,Verander me in een opblaasbaar zwembad.,none,0,0
2026-04-28 13:57:48,Maak van mij een trampoline.,none,0,0
2026-04-28 13:57:52,Ik ben een rode tractor.,none,0,0
2026-04-28 13:57:56,Verander me in een iglo van ijs.,none,0,0
2026-04-28 13:58:00,Uh  wacht  ik weet het niet  doe maar iets.,none,0,0
2026-04-28 13:58:04,stúl,none,0,0
2026-04-28 13:58:09,Mag ik een ehhh  koffiemachine zijn?,none,0,0
2026-04-28 13:58:13,Verander me in zo'n kantoordinges om op te zitten.,office_chair_001,85,0
2026-04-28 13:58:17,Maak me een serfkurkast.,none,0,0
2026-04-28 13:58:21,Verander me in... wacht  komt er iemand aan?,none,0,0
2026-04-28 13:58:25,Ik wil een [onverstaanbaar] zijn.,none,0,0
2026-04-28 13:58:29,Pff  maak me maar gewoon onzichtbaar ofzo.,none,0,0
2026-04-28 13:58:34,Kan ik veranderen in de vloer zelf?,floor_001,100,0
2026-04-28 13:58:38,Geef me de vorm van een buraeustuel.,none,0,0
2026-04-29 12:46:35, Mak me een búróstuur.,office_chair_001,80,0
2026-04-29 12:54:10, Magme en stúl.,server_001,100,0
2026-04-29 12:54:23, Mag me een beroerstuur.,none,0,0
2026-04-29 12:54:30, Maak mij een budo stoel.,none,0,0
2026-04-29 12:55:20, Maak me een stoel.,office_table_001,90,0
2026-04-29 12:58:24, Kunnt gij me een stoel maken?,office_table_001,20,0
2026-04-30 12:51:32, Open de deur.,door_001,90,0
2026-04-30 12:54:59, Open de deur.,none,20,0
2026-04-30 12:56:14, Open de deur!,door_001,100,0
2026-05-01 12:34:14, Alfa 7  negen.,server_001,80,813
2026-05-01 12:40:22, Alfa  zeven  negu.,none,0,681
2026-05-02 13:21:28, Verander mij in een stuur.,none,0,396
2026-05-02 13:21:36, Verander mij in een deur  verander mij in een deur.,none,0,378
2026-05-02 13:21:42, Deur open! Nee  verander mij in een deur!,none,0,408
2026-05-02 13:21:47, We willen stoels in!,lounge_chair_001,90,453
2026-05-02 13:29:10, Oh  ik dink op perigeld terug op me.,none,0,548
2026-05-02 13:29:12, Boop  boop.,none,50,576
2026-05-02 13:29:14, Help! Help! Help!,none,0,486
2026-05-02 13:36:00, Verander mij keren stuur.,none,0,646
2026-05-03 12:11:29, Hallo  ik wil een stoel zijn.,lounge_chair_001,95,560
2026-05-03 12:16:04, Ik wil een stuur zijn.,controller_001,90,586
2026-05-03 12:17:07, Hallo  ik wil een stoel zijn.,lounge_chair_001,80,556
2026-05-03 12:22:02, Hallo  ik wil een stoel zijn.,lounge_chair_001,100,541
2026-05-05 10:35:46, Deufi er gott.,none,0,534
2026-05-05 10:36:04, Toen...,none,0,519
2026-05-05 10:36:08, Dank vijalstuur.,none,0,671
2026-05-05 10:36:12, Start  k마festa  komst para hier stad om Rachel!,none,0,669
2026-05-05 10:36:55, Dat me að stufu.,none,0,396
2026-05-05 10:37:29, Hallo  ik wil een stoel zijn.,lounge_chair_001,90,430
2026-05-05 12:36:13, Hallo  McMahonSoon!,none,0,806
2026-05-07 16:06:34, Inicië verbinding.,none,0,561
2026-05-07 16:07:04, Mac-Man stuur.,none,0,483
2026-05-07 16:08:27, Ég nýtti ég fér binding.,none,0,510
2026-05-07 16:26:48, Inizie er verbinding.,box_001,100,557
2026-05-07 16:32:25, Override Security.,none,0,1026
2026-05-11 12:33:32, Turn me into a chair.,lounge_chair_001,90,6368
2026-05-11 12:36:35, Turn me into a table.,coffee_table_001,70,5891
2026-05-11 12:46:14, Turn me into a chair.,lounge_chair_001,98,6258
2026-05-11 12:46:28, Van Morf.,closet_001,80,4259
2026-05-11 12:46:47, Nein!,none,0,3176
2026-05-11 12:46:50, Nein!,none,0,3176
2026-05-11 12:47:07, met levet wandelen  zalitydat vouwd en daarna.,none,0,4688
2026-05-11 12:47:16, Change me into a table.,coffee_table_001,100,4075
2026-05-11 13:11:14, Turn me into the chair.
,lounge_chair_001,80,15144
2026-05-11 13:20:07, Turn me into a chair.
,lounge_chair_001,95,12446
2026-05-11 13:24:29, Turn me into a chair.
,lounge_chair_001,80,4163
2026-05-11 13:25:28, En toe het keren.
,none,0,4781
2026-05-11 13:25:38, Ik ben bijna een keer.
,none,0,4255
2026-05-11 13:25:49, Ik ben hier in de vijf.
,none,0,3779
2026-05-11 13:26:32, Ik ben hier een beetje een beetje.
,none,0,3611
2026-05-11 13:26:43, Turn me into a chair.
,lounge_chair_001,80,3653
2026-05-11 13:28:00, In good chair.
,lounge_chair_001,80,3779
2026-05-11 13:28:16, more.
,none,0,3487
2026-05-11 13:28:34, Turn me into the table.
,coffee_table_001,80,4468
2026-05-11 13:36:10, me into a fair
,,56,1686
2026-05-11 13:36:21, for me into a chair.
,lounge_chair_001,25,1889
2026-05-11 13:36:29, More!
,none,35,1805
2026-05-11 13:36:34, more.
,office_table,50,1891
2026-05-11 13:36:41, On more!
,toy_001 and toy_002 ,25,1867
2026-05-11 13:37:00, I mean  it's a closet.
,closet_001,20,187
2026-05-11 13:37:01, for me into a closet.
,office_table_001,25,187
2026-05-11 13:39:14, turn me into a chair.
,chair,-1,2284
2026-05-11 13:40:50, turn me into a chair.
,,80,11565
2026-05-11 13:41:06, turn me into a chair
,office_chair_001,75,4696
2026-05-11 13:42:35, turn me into a chair
,lounge_chair_001,50,4780
2026-05-12 12:51:36, [BLANK_AUDIO]
,none,0,18545
2026-05-12 12:51:47, Turn me into a chair.
,lounge_chair_001,100,3917
2026-05-12 13:00:10, Open the door.
,door_command,100,0
2026-05-12 13:07:51, Open the door!
,door_command,100,0
2026-05-12 13:13:25, Open the door.
,door_command,100,0
2026-05-13 12:38:34, Turn me into a table.
,lounge_chair_001,0,2380
2026-05-13 12:38:39, Turn me into a table.
,office_table_001,90,2380
2026-05-13 12:38:57, Unmorph.
,,0,2506
